source,target,weight,sources
a-tirador-laser,221,1,bio
a-tirador-laser,2600,1,bio
a-tirador-laser,944,1,bio
a-tirador-laser,lucas-marti,2,bio
a-tirador-laser,migue-garcia,2,bio
a-tirador-laser,fernando-samalea,1,bio
animal,actitud-maria-marta,1,bio
animal,andres-gimenez,2,bio
animal,attaque-77,2,bio
animal,botafogo,1,bio
animal,carajo,1,bio
animal,d-mente,2,bio
animal,de-la-tierra,2,bio
animal,divididos,2,bio
animal,la-renga,1,bio
animal,las-pelotas,2,bio
animal,leon-gieco,2,bio
animal,los-piojos,1,bio
animal,los-violadores,1,bio
animal,power-of-soul,1,bio
animal,todos-tus-muertos,2,bio
animal,cabezones,1,bio
animal,d-i-o-n-i-s-i-o-s,1,bio
animal,headroom,1,bio
animal,newgarden,1,bio
animal,raiz,1,bio
animal,rey-momo,1,bio
animal,sumo,1,bio
a1,charly-garcia,1,bio
a1,maria-gabriela-epumer,2,bio
abaxial,soda-stereo,1,bio
abed-nego,pablo-molina,2,bio
abed-nego,todos-tus-muertos,1,bio
abejorros,duna,1,bio
abejorros,nito-mestre,1,bio
abejorros,sui-generis,1,bio
abisales,humo-del-cairo,1,bio
abrelatas,raul-porchetto,1,bio
abuela-coca,ruben-rada,1,bio
acida,alina-gandini,1,bio
acida,fito-paez,1,bio
acida,tweety-gonzalez,2,bio
acorazado-potemkin,don-cornelio-y-la-zona,1,bio
acorazado-potemkin,los-visitantes,1,bio
acorazado-potemkin,me-daras-mil-hijos,1,bio
acorazado-potemkin,motorama,1,bio
acorazado-potemkin,pequena-orquesta-reincidentes,1,bio
acorazado-potemkin,valle-de-munecas,1,bio
actitud-maria-marta,fito-paez,1,bio
actitud-maria-marta,alika,1,bio
actitud-maria-marta,attaque-77,1,bio
actitud-maria-marta,carmina-burana,1,bio
actitud-maria-marta,chake,1,bio
actitud-maria-marta,divididos,1,bio
actitud-maria-marta,leon-gieco,1,bio
actitud-maria-marta,las-pelotas,1,bio
actitud-maria-marta,todos-tus-muertos,1,bio
actitud-sospechosa,los-piojos,1,bio
actitud-sospechosa,sumo,1,bio
adicta,audioperu,2,bio
adicta,fanfarron,2,bio
adicta,los-brujos,1,bio
adicta,toto,1,bio
adicta,tweety-gonzalez,1,bio
adicta,virus,1,bio
adn,divididos,1,bio
adrian-abonizio,juan-carlos-baglietto,2,bio
adrian-abonizio,lalo-de-los-santos,1,bio
adrian-abonizio,jorge-fandermole,1,bio
adrian-abonizio,rosarinos,1,bio
aeroblus,alejandro-medina,2,bio
aeroblus,pappo,2,bio
aeroblus,pappos-blues,2,bio
aeroblus,riff,1,bio
aeroplanos,cymbaline,1,bio
africana,los-autenticos-decadentes,1,bio
africana,los-fabulosos-cadillacs,1,bio
africana,los-pericos,1,bio
agosto,charly-garcia,1,bio
agosto,leon-gieco,1,bio
agrupacion-musical-ayrton-senna,jaime-sin-tierra,1,bio
aguirre,gustavo-cerati,1,bio
aguirre,marcelo-moura,1,bio
aguirre,tweety-gonzalez,1,bio
aguirre,virus,1,bio
aguirre,soda-stereo,1,bio
alai,jai-alai,1,bio
alakran,la-torre,1,bio
alakran,mario-ian,2,bio
alakran,devenir,1,bio
alakran,escocia,1,bio
alakran,gasolina,1,bio
alakran,hermetica,1,bio
alakran,gady-pampillon,1,bio
alakran,rata-blanca,1,bio
