slug,name,degree,degree_centrality,betweenness,eigenvector,pagerank,community
a-rodar,A rodar,6,0.00097,0.001,0.00151,0.00044,10
a-tirador-laser,A-Tirador Láser,11,0.00179,0.00205,0.01173,0.00068,2
alma,A.L.M.A.,0,0.0,0,0.0,4e-05,144
animal,A.N.I.M.A.L.,35,0.00569,0.02538,0.04998,0.00188,1
apg-hard-rock,A.P.G. Hard Rock,2,0.00032,0,0.0,0.0004,40
aru,A.R.U.,0,0.0,0,0.0,4e-05,145
a1,A1,2,0.00032,0.0,0.01724,0.00015,2
abaxial,Abaxial,1,0.00016,0.0,0.00764,8e-05,2
abbadon,Abbadón,0,0.0,0,0.0,4e-05,146
abed-nego,Abed Nego,3,0.00049,4e-05,0.00425,0.0002,1
abeja-reina,Abeja Reina,1,0.00016,0.0,0.00139,9e-05,10
abejorros,Abejorros,4,0.00065,0.0007,0.01203,0.00023,0
abelardos,Abelardos,5,0.00081,0.00075,0.00405,0.00029,3
abeydon,Abeydon,2,0.00032,8e-05,0.00256,0.00013,13
abisal,Abisal,0,0.0,0,0.0,4e-05,147
abisales,Abisales,1,0.00016,0.0,0.0,0.00014,4
abimsla,Abismal,2,0.00032,6e-05,0.00019,0.00018,12
aborigen,Aborigen,0,0.0,0,0.0,4e-05,148
abrasantia,Abrasantia,0,0.0,0,0.0,4e-05,149
abrelatas,Abrelatas,1,0.00016,0.0,0.00423,7e-05,0
abril-a-mil,Abril a Mil,2,0.00032,0.0,0.00981,0.00012,2
abterno,Abterno,0,0.0,0,0.0,4e-05,150
abuela-coca,Abuela Coca,2,0.00032,4e-05,0.00144,0.00013,8
abylon,Abylon,1,0.00016,0.0,0.00074,9e-05,2
aca-seca-trio,Aca Seca Trío,0,0.0,0,0.0,4e-05,151
acalanto,Acalanto,0,0.0,0,0.0,4e-05,152
acampantes,Acampantes,0,0.0,0,0.0,4e-05,153
acapella,Acapella,2,0.00032,2e-05,0.00153,0.00012,3
accion-reaccion,Acción reacción,0,0.0,0,0.0,4e-05,154
acid-caramels,Acid Caramels,0,0.0,0,0.0,4e-05,155
acida,Acida,2,0.00032,0.0,0.00534,0.00015,2
acidground,Acidground,0,0.0,0,0.0,4e-05,156
acido-canario,Acido Canario,0,0.0,0,0.0,4e-05,157
acido-mc,Acido MC,1,0.00016,0.0,0.00045,0.0001,3
acolitos-anonimos,Acólitos Anónimos,3,0.00049,0.00041,0.00152,0.00018,10
acorazado-potemkin,Acorazado Potemkin,7,0.00114,0.00025,0.0024,0.00036,9
acorralados,Acorralados,3,0.00049,0.00237,0.00054,0.00024,6
acostadetodo,Acostadetodo,1,0.00016,0.0,5e-05,0.0001,12
actitud-maria-marta,Actitud María Marta,16,0.0026,0.00591,0.04134,0.00077,1
actitud-sospechosa,Actitud Sospechosa,3,0.00049,5e-05,0.00652,0.00015,1
adan-cabron,Adán Cabrón,0,0.0,0,0.0,4e-05,158
adelas,Adelas,0,0.0,0,0.0,4e-05,159
adella,Adella,0,0.0,0,0.0,4e-05,160
adenoma,Adenoma,0,0.0,0,0.0,4e-05,161
adicta,Adicta,10,0.00162,0.00546,0.01435,0.00057,2
adiestradores-de-moscas,Adiestradores de moscas,0,0.0,0,0.0,4e-05,162
adn,ADN,2,0.00032,4e-05,0.00378,0.00012,6
adonis-macho,Adonis Macho,0,0.0,0,0.0,4e-05,163
adrian-abonizio,Adrián Abonizio,8,0.0013,0.00012,0.01452,0.00033,0
aereals,Aereals,0,0.0,0,0.0,4e-05,164
aeroblus,Aeroblus,4,0.00065,2e-05,0.00844,0.00027,0
aeronave,Aeronave,0,0.0,0,0.0,4e-05,165
aeroplanos,Aeroplanos,1,0.00016,0,0.0,0.00022,59
aerosol,Aerosol,0,0.0,0,0.0,4e-05,166
aerosolo,Aerosolo,0,0.0,0,0.0,4e-05,167
afasia,Afasia,0,0.0,0,0.0,4e-05,168
afortunados-perdedores,Afortunados perdedores,0,0.0,0,0.0,4e-05,169
africana,Africana,3,0.00049,4e-05,0.0089,0.00015,1
africana-bay,Africana Bay,0,0.0,0,0.0,4e-05,170
afro,Afro,0,0.0,0,0.0,4e-05,171
after-datta,After Datta,1,0.00016,0.0,2e-05,0.0001,4
after-ego,After-ego,0,0.0,0,0.0,4e-05,172
agama,Agama,0,0.0,0,0.0,4e-05,173
agente-naranja,Agente Naranja,2,0.00032,2e-05,0.00057,0.00013,4
agnus,Agnus,0,0.0,0,0.0,4e-05,174
agosto,Agosto,2,0.00032,0.0,0.02583,0.00011,0
agosto-2,Agosto,3,0.00049,3e-05,0.02105,0.00015,2
agrupacion-mamanis,Agrupación Mamanis,1,0.00016,0.0,0.00027,9e-05,1
agrupacion-musical-ayrton-senna,Agrupación Musical Ayrton Senna,1,0.00016,0.0,0.0,0.00011,9
agrupaxion-skabeche,Agrupaxión Skabeche,0,0.0,0,0.0,4e-05,175
agualoca,AguaLocA,0,0.0,0,0.0,4e-05,176
aguante-baretta,Aguante Baretta,0,0.0,0,0.0,4e-05,177
aguas-tonicas,Aguas Tónicas,0,0.0,0,0.0,4e-05,178
aguirre,Aguirre,5,0.00081,2e-05,0.02546,0.00022,2
ahlma-rock,Ahlma Rock,1,0.00016,0.0,0.00135,8e-05,3
ainda,Ainda,1,0.00016,0.0,0.00031,9e-05,8
airbag,Airbag,3,0.00049,0.00018,0.00159,0.0002,6
aire-reggae,Aire Reggae,2,0.00032,0.0,0.00441,0.00012,1
aires-bajos,Aires Bajos,2,0.00032,0.0002,0.00098,0.00015,14
ajna,Ajna,2,0.00032,0.0,0.00476,0.00012,7
akenathon,Akenathon,0,0.0,0,0.0,4e-05,179
akropolis-rock,Akrópolis rock,1,0.00016,0.0,0.00075,8e-05,10
akros,Akros,0,0.0,0,0.0,4e-05,180
akun-maia,Akun Maia,0,0.0,0,0.0,4e-05,181
al-fondo-a-la-derecha,Al fondo a la derecha,0,0.0,0,0.0,4e-05,182
al-palo,Al palo,3,0.00049,0.00031,0.00206,0.00022,10
al-queen,Al Queen,1,0.00016,0.0,1e-05,0.00013,4
al-quitran,Al Quitrán,0,0.0,0,0.0,4e-05,183
aladelta,Aladelta,2,0.00032,0.00013,0.00265,0.00013,2
alados,Alados,0,0.0,0,0.0,4e-05,184
alai,Alai,1,0.00016,0,0.0,0.00028,84
alakran,Alakrán,6,0.00097,0.00044,0.00568,0.00033,4
alambique-al-pesto,Alambique al pesto,0,0.0,0,0.0,4e-05,185
alambre-y-la-doble-nelson,Alambre y la Doble Nelson,2,0.00032,0.0,0.00249,0.00017,7
alan-sutton-y-las-criaturitas-de-la-ansiedad,Alan Sutton y las criaturitas de la ansiedad,0,0.0,0,0.0,4e-05,186
alas,Alas,4,0.00065,0.00176,0.00814,0.00028,0
alasdies,Alasdies,0,0.0,0,0.0,4e-05,187
alcalina,Alcalina,0,0.0,0,0.0,4e-05,188
alcohol-etilico,Alcohol Etílico,0,0.0,0,0.0,4e-05,189
alcoholica,Alcohólica,0,0.0,0,0.0,4e-05,190
alegrias-de-a-peso,Alegrías de a peso,0,0.0,0,0.0,4e-05,191
alejandro-alaci,Alejandro Alaci,4,0.00065,1e-05,0.00294,0.00024,2
alem,Alem,1,0.00016,0.0,6e-05,0.00013,1
aleman-grup,Aleman Grup,8,0.0013,0.00356,0.01661,0.00044,4
alerta-pachuca,Alerta Pachuca,0,0.0,0,0.0,4e-05,192
alerta-roja,Alerta Roja,3,0.00049,2e-05,0.00275,0.00017,1
alfajores-de-la-pampa-seca,Alfajores de la Pampa seca,1,0.00016,0.0,0.00347,7e-05,0
alfiler-de-gancho,Alfiler de Gancho,5,0.00081,0.00024,0.00378,0.00026,6
alfombra-magica,Alfombra mágica,0,0.0,0,0.0,4e-05,193
alfonso-el-pintor,Alfonso el Pintor,3,0.00049,0.00051,0.00043,0.0002,9
algo-mejor,Algo Mejor,2,0.00032,0.00156,0.00848,0.00013,6
algo-raro-pasa,Algo raro pasa,0,0.0,0,0.0,4e-05,194
alhambra,Alhambra,0,0.0,0,0.0,4e-05,195
alianza,Alianza,2,0.00032,0.0,0.00023,0.00016,4
alias,Alias,0,0.0,0,0.0,4e-05,196
alienados,Alienados,0,0.0,0,0.0,4e-05,197
alika,Alika,3,0.00049,2e-05,0.00366,0.00016,1
alimana,Alimaña,1,0.00016,0.0,3e-05,0.00012,9
alisson,Alisson,0,0.0,0,0.0,4e-05,198
all-for-love,All For Love,0,0.0,0,0.0,4e-05,199
all-the-hats,All The Hats,3,0.00049,0.00076,0.00012,0.00022,7
alma-3-1,Alma 3.1,0,0.0,0,0.0,4e-05,200
alma-bouquet,Alma Bouquet,0,0.0,0,0.0,4e-05,201
alma-de-mane,Alma de Mane,0,0.0,0,0.0,4e-05,202
alma-mula,Alma mula,0,0.0,0,0.0,4e-05,203
alma-reina,Alma reina,0,0.0,0,0.0,4e-05,204
alma-y-vida,Alma y Vida,6,0.00097,0.00067,0.01043,0.00039,0
almafuerte,Almafuerte,10,0.00162,0.00196,0.00817,0.00058,4
almas-residuales,Almas Residuales,0,0.0,0,0.0,4e-05,205
almazen,AlmaZen,0,0.0,0,0.0,4e-05,206
almendra,Almendra,21,0.00341,0.00411,0.05816,0.00091,0
alphonso-sentrega,Alphonso S’Entrega,2,0.00032,3e-05,0.00309,0.00017,0
alplakx,AlPlâkx,0,0.0,0,0.0,4e-05,207
alquimera,Alquímera,0,0.0,0,0.0,4e-05,208
alter-ego,Alter Ego,3,0.00049,0.0007,4e-05,0.00036,5
alter-idem,Alter Idem,0,0.0,0,0.0,4e-05,209
altertango,Altertango,0,0.0,0,0.0,4e-05,210
alto-blues,Alto blues,0,0.0,0,0.0,4e-05,211
alto-bondi,Alto bondi,0,0.0,0,0.0,4e-05,212
alto-guiso,Alto Guiso,1,0.00016,0.0,0.00035,8e-05,1
alto-voltaje,Alto voltaje,0,0.0,0,0.0,4e-05,213
altocamet,AltoCamet,2,0.00032,0.00035,0.00717,0.00018,2
alucinado,Alucinado,1,0.00016,0,0.0,0.00028,60
alucinaria,Alucinaria,1,0.00016,0.0,0.00339,7e-05,0
alucine,Aluciné,0,0.0,0,0.0,4e-05,214
alumbra,Alumbra,1,0.00016,0.0,0.0015,8e-05,2
alunacy,Alunacy,3,0.00049,0.00019,0.00455,0.00016,2
alunar,Alunar,1,0.00016,0.0,0.00035,9e-05,7
alvacast,Alvacast,0,0.0,0,0.0,4e-05,215
alvy-singer,Alvy Singer Big Band,4,0.00065,0.00229,0.00179,0.00022,5
amanda,Amanda,0,0.0,0,0.0,4e-05,216
amarillo,Amarillo,7,0.00114,0.00127,0.00626,0.00034,11
amarillo-urbano,Amarillo Urbano,1,0.00016,0,0.0,0.00022,37
amas-de-casa-rock,Amas de Casa Rock,1,0.00016,0,0.0,0.00028,69
amatista,Amatista,0,0.0,0,0.0,4e-05,217
ambar,Ambar,0,0.0,0,0.0,4e-05,218
ambar-2,Ambar,0,0.0,0,0.0,4e-05,219
ambarville,Ambarville,0,0.0,0,0.0,4e-05,220
ambassador,Ambassador,6,0.00097,0.00054,0.01318,0.00027,2
amberes,Amberes,1,0.00016,0,0.0,0.00028,117
ambulancia,Ambulancia,0,0.0,0,0.0,4e-05,221
ameba,Ameba,0,0.0,0,0.0,4e-05,222
amel,Amel,0,0.0,0,0.0,4e-05,223
amerikan-mystic,Amerikan Mystic,4,0.00065,0.00041,0.00229,0.00023,6
amigoacidos,Amigoácidos,0,0.0,0,0.0,4e-05,224
aminowana,Aminowana,0,0.0,0,0.0,4e-05,225
amoenus,Amoenus,0,0.0,0,0.0,4e-05,226
amor-buda,Amor Buda,0,0.0,0,0.0,4e-05,227
amor-elefante,Amor Elefante,2,0.00032,0.00035,0.00021,0.00022,1
amor-en-la-isla,Amor en la Isla,3,0.00049,0.00038,0.00084,0.00024,2
amperia,Amperia,2,0.00032,0.0,0.00476,0.00012,7
ana-membi,Aña Membi,0,0.0,0,0.0,4e-05,228
ana-sol-y-la-candela,Ana Sol y la Candela,4,0.00065,9e-05,0.00061,0.00023,1
anacronica,Anacrónica,0,0.0,0,0.0,4e-05,229
anacrusa,Anacrusa,1,0.00016,0.0,0.00088,8e-05,6
analgesico,Analgésico,0,0.0,0,0.0,4e-05,230
